Blood_cell,Status,Domain,Count
basophils,above,bacteria,56
basophils,above,eukaryota,1
basophils,below,bacteria,27
basophils,normal,bacteria,97
basophils,normal,eukaryota,14
basophils,normal,viruses,7
eosinophils,above,bacteria,70
eosinophils,above,eukaryota,7
eosinophils,below,bacteria,27
eosinophils,normal,bacteria,95
eosinophils,normal,eukaryota,12
eosinophils,normal,viruses,7
lymphocytes,above,bacteria,85
lymphocytes,above,eukaryota,6
lymphocytes,above,viruses,1
lymphocytes,below,bacteria,51
lymphocytes,below,eukaryota,1
lymphocytes,below,viruses,1
lymphocytes,normal,bacteria,89
lymphocytes,normal,eukaryota,13
lymphocytes,normal,viruses,6
monocytes,above,bacteria,88
monocytes,above,eukaryota,7
monocytes,above,viruses,1
monocytes,below,bacteria,41
monocytes,normal,bacteria,87
monocytes,normal,eukaryota,12
monocytes,normal,viruses,7
neutrophils,above,bacteria,56
neutrophils,above,eukaryota,5
neutrophils,above,viruses,1
neutrophils,below,bacteria,62
neutrophils,below,eukaryota,7
neutrophils,below,viruses,1
neutrophils,normal,bacteria,96
neutrophils,normal,eukaryota,10
neutrophils,normal,viruses,6
