Aggregatibacter aphrophilus,bacteria
Bacillus cereus,bacteria
Campylobacter coli,bacteria
Campylobacter jejuni,bacteria
Candida albicans,eukaryota
Candida dubliniensis,eukaryota
[Candida] glabrata,eukaryota
Candida tropicalis,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium tetani,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium nucleatum,bacteria
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Human mastadenovirus D,viruses
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Morganella morganii,bacteria
Paraclostridium bifermentans,bacteria
Pichia kudriavzevii,eukaryota
Porphyromonas gingivalis,bacteria
Prevotella bivia,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Proteus mirabilis,bacteria
Pseudomonas aeruginosa,bacteria
Rhizopus oryzae,eukaryota
Rothia dentocariosa,bacteria
Salmonella enterica,bacteria
Serratia marcescens,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Staphylococcus epidermidis,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
