Aeromonas veronii,bacteria
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Enterobacter cloacae,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Klebsiella aerogenes,bacteria
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Porphyromonas gingivalis,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Pseudomonas aeruginosa,bacteria
Salmonella enterica,bacteria
Serratia marcescens,bacteria
Shigella flexneri,bacteria
Staphylococcus aureus,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus oralis,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
